id, codigo, nome, tipo, cargaHoraria, semestre
1,CAC3100,Introdução à Engenharia de Controle e Automação (EXT 36h-a),Ob,72,1
2,CAC3101,Introdução à Informática para Automação,Ob,72,1
3,MAT2201,Cálculo I,Ob,72,1
4,CAC6002,Desenho Técnico para Engenharia,Ob,72,1
5,MAT2111,Geometria Analítica,Ob,72,1
6,CAC3201,Sistemas Digitais,Ob,32,2
7,CAC3202,Algoritmos e Estruturas de Dados,Ob,72,2
8,MAT2301,Cálculo II,Ob,108,2
9,CEE6106,Física I,Ob,72,1
10,CEE6109,Física II,Ob,72,2
11,CEE6206,Física Experimental I,Ob,36,1
12,CEE6209,Física Experimental II,Ob,36,2
13,DET3301,Química Tecnológica,Ob,72,3
14,CAC3302,Microprocessadores,Ob,72,3
15,MAT2401,Cálculo III,Ob,72,3
16,CAC6011,Mecânica dos Sólidos,Ob,72,3
17,CEE6110,Física III,Ob,72,3
18,CEE6210,Física Experimental III,Ob,36,3
19,CAC7008,Ciência Tecnologia e Sociedade (EXT 36h-a),Ob,36,3
20,CAC3401,Sinais e Sistemas Lineares,Ob,108,4
21,CAC3402,Circuitos Elétricos para Controle e Automação,Ob,108,4
22,CAC3403,Sistemas de Automação,Ob,90,4
23,CAC6013,Estatística,Ob,72,4
24,DET6014,Fenômenos de Transporte,Ob,72,4
25,CAC3501,Modelagem e Simulação de Sistemas Dinâmicos,Ob,108,5
26,CAC3502,Eletricidade Industrial,Ob,72,5
27,CAC3503,Eletrônica Aplicada,Ob,108,5
28,CAC3505,Redes Industriais,Ob,72,5
29,CAC3602,Sistemas de Controle,Ob,108,6
30,CAC3603,Acionamentos Hidráulicos e Pneumáticos,Ob,72,6
31,CAC3604,Acionamentos Elétricos,Ob,72,6
32,CAC2505,Fundamentos da Metodologia Científica,Ob,36,6
33,DET1812,Administração,Ob,36,6
34,DET1813,Microeconomia,Comp,36,0
35,CAC2505,Metodologia Científica,Ob,36,6
36,CAC3702,Projeto Integrador,Ob,72,7
37,CAC3704,Introdução à Robótica Industrial,Ob,72,7
38,CAC3705,Automação da Manufatura,Ob,72,7
39,CAC3706       ,Gestão de Projetos,Ob,72,7
40,DET3800,Gestão Ambiental,Ob,54,8
41,CAC3900,Projeto Especializado,Ob,108,9
42,DET1525,Segurança do Trabalho,Ob,36,9
43,CAC7210,Projeto Fim de Curso - TCC,Ob,72,10
44,CAC7215,Projeto Fim de Curso - Estágio Curricular Obrigatório,Ob,324,10
45,CAC3001  ,Atividades Acadêmico-Científico-Culturais,Ob,72,0
46,CAC3002,Identificação e Controle Adaptativo de Sistemas,Espc,72,0
47,CAC3003,Controle no Espaço de Estados,Espc,72,0
48,CAC3004,Introdução ao Controle Preditivo,Espc,36,0
49,CAC3008,Processos Industriais,Espc,72,0
50,CAC3013,Mecanismos,Espm,72,0
51,CAC3014,Eletrônica de Potência,Espm,108,0
52,CAC3015,Processamento Digital de Sinais,Espm,72,0
53,CAC3020,Sistemas Computacionais para Controle e Automação,Espcom,72,0
54,CAC3023,Programação Orientada a Objetos,Espcom,72,0
55,CAC3024,Integração de Sistemas para Automação,Espcom,108,0
56,DET7000,Engenharia da Qualidade,Ope,72,0
57,DET1803,Planejamento e Controle da Produção,Ope,54,0
58,CAC3033,Introdução à Otimização,Espcom,72,0
59,CAC3040,Visão Computacional em Robótica,Espm,72,0
60,CAC3041,Robótica Móvel,Espm,72,0
61,CAC3042,Eletrônica Avançada,Espm,72,0
62,CAC3043,Sistemas Não-Lineares,Espc,72,0
63,CAC3044,Tópicos Avançados em Redes de Telecomunicações,Espcom,72,0
64,CAC3045,Engenharia de Software,Espcom,72,0
65,CAC3046,Sistemas Embarcados,Espcom,72,0
66,CAC3047,Tópicos Especiais em Sistemas Computacional I,Espcom,72,0
67,CAC3048,Tópicos Especiais em Mecatrônica I,Espm,72,0
68,CAC3049,Tópicos Especiais em Controle de Processos I,Espc,72,0
69,CAC8002,Inteligência Artificial,Espcom,72,0
70,CAC7010,Teoria do Conhecimento para Engenharia,Comp,72,0
71,CAC7011,Tecnologias para o Desenvolvimento Inclusivo,Ope,72,0
72,CAC7012,Sociedade Tecnologia e História,Comp,72,0
73,CEE7923,Língua Brasileira de Sinais (bacharel),Ope,36,0
74,CAC7995,Introdução aos Sistemas de Controle,Ope,36,0
75,CAC3050,Sistemas Digitais II,Espcom,72,0
76,MAT4741,Métodos Numéricos,Comp,72,0
77,CEE6310,Ótica,Comp,36,0
78,CAC7011,Tecnologia para o Desenvolvimento Inclusivo,Comp,36,0
79,MAT2211,Álgebra Linear,Ob,72,2
80,CAC3504,Sistemas e Eventos Discretos,Ob,90,5
81,DET1814,Economia,Ob,36,6
82,CAC3700,Metrologia e Instrumentalização,Ob,90,7
